A,B,V
10,0,1.13
50,0,5.55
100,0,9.307
200,0,14.775
300,0,18.303
400,0,20.397
500,0,21.967
10,50,1.04
50,50,4.273
100,50,7.573
200,50,12.883
300,50,14.8
400,50,18.08
500,50,18.07
10,125,1.045
50,125,3.523
100,125,6.94
200,125,11.707
300,125,13.863
400,125,15.817
500,125,16.423
10,200,0.737
50,200,3.067
100,200,5.753
200,200,10.17
300,200,12.147
400,200,13.68
500,200,13.81
10,350,0.783
50,350,2.84
100,350,5.307
200,350,9.383
300,350,10.893
400,350,12.267
500,350,12.79
10,500,0.735
50,500,2.587
100,500,5.043
200,500,8.73
300,500,10.163
400,500,10.423
500,500,12.028
